Review,Label
The bun was dry and stale.,Negative
The restaurant had a great outdoor seating area,Positive
The order was incorrect and had to be remade,Negative
The burger was a bit too greasy and left a film in my mouth.,Negative
"The special sauce was a bit too tangy, it needed to be more sweet.",Negative
The restaurant had a great selection of dipping sauces for my fries,Positive
The Big Mac was greasy and unhealthy,Negative
The lettuce in my burger was wilted and old.,Negative
The pickles in my burger were the perfect level of sourness.,Positive
"The special sauce was the perfect touch, it added a burst of flavor.",Positive
The staff was knowledgeable about the menu and made recommendations,Positive
The staff was unprofessional and made inappropriate jokes,Negative
The restaurant had a great system for mobile ordering and pick-up,Positive
"The special sauce was a bit too plain, it needed more complexity.",Negative
The Big Mac was satisfying and filling,Positive
The staff was unprofessional and made inappropriate comments,Negative
The staff was friendly and accommodating,Positive
The burger was the perfect option for a movie night meal.,Positive
"The beef patties were a bit too tough, they required extra chewing.",Negative
The soda was flat and lacked any carbonation,Negative
"The special sauce was a bit too thick, it needed more liquidity.",Negative
The burger was dry and lacked any flavor,Negative
"The restaurant had a great selection of sides, including mac and cheese",Positive
The staff was unorganized and mixed up my order,Negative
The burger was well-made and delicious.,Positive
The bun was too dry and crumbly,Negative
The lettuce was limp and unappetizing,Negative
"The special sauce was a bit too sweet, it didn't complement the other ingredients well.",Negative
The special sauce was the perfect addition to the burger.,Positive
"The beef patties were a bit too charred, they needed more juiciness.",Negative
The soda had too much ice and not enough drink,Negative
"The pickles in my burger were a bit too tangy, they needed less acidity.",Negative
"The special sauce was a bit too mild, I expected more flavor.",Negative
"The pickles in my burger were a bit too mild, they needed more flavor.",Negative
"The pickles in my burger were the perfect addition, they added the right amount of crunch.",Positive
The burger was cooked to perfection and had great flavor,Positive
The burger was the perfect option for a casual meal.,Positive
The Big Mac was a bit too salty for my liking.,Negative
The special sauce made the Big Mac even better,Positive
The fries were hot and crispy.,Positive
The Big Mac was a bit too expensive,Negative
The staff was knowledgeable about the menu and able to answer my questions,Positive
"The Big Mac has been my favorite burger for years, it never gets old.",Positive
"The staff was polite and courteous, providing great service",Positive
The special sauce was the perfect condiment,Positive
The staff was attentive and made sure everything was to my liking,Positive
The special sauce was the highlight of the burger,Positive
"The pickles in my burger were the perfect texture, they added a nice crunch.",Positive
The bun was fresh and fluffy,Positive
The burger was cooked to perfection and tasted delicious,Positive
The apple pie was warm and delicious.,Positive
"The burger was a bit too sweet, it needed more saltiness.",Negative
"The special sauce on the Big Mac is what sets it apart from other burgers, so tasty.",Positive
"The pickles in my burger were a bit too sweet, but still enjoyable.",Negative
The burger was the perfect option for a long day at work.,Positive
"The ice cream machine was broken, disappointing.",Negative
The restaurant had a great menu for kids with toys and games,Positive
The restaurant had a clean and modern interior design.,Positive
The beef patty was too thin and lacking in flavor,Negative
The beef patties were a bit too thin and dry.,Negative
The staff was knowledgeable about the ingredients and allergen information,Positive
"The special sauce was the perfect amount, it made the burger more delicious.",Positive
The burger was the perfect option for a date night.,Positive
The beef patties were a bit too chewy and tough.,Negative
"The fries were cold and limp, and not enjoyable to eat",Negative
The soda had a strange taste and was flat,Negative
The fries were too greasy and soggy,Negative
